날짜/품목,김밥,참치 김밥,돈까스 김밥,치즈 김밥,떡볶이,순대,오뎅,제육 덮밥,카레라이스,돈까스
1월 1일,45,12,6,22,20,19,13,11,39,10
1월 2일,42,32,7,6,10,18,19,37,43,6
1월 3일,40,17,39,31,19,33,42,22,5,15
1월 4일,32,26,22,14,18,26,11,10,29,11
1월 5일,27,27,43,21,7,34,39,12,29,10
1월 6일,40,23,45,44,28,41,17,9,7,19
1월 7일,23,10,19,11,29,22,34,45,28,15
1월 8일,28,27,18,22,9,43,45,15,39,20
1월 9일,15,34,29,22,45,40,19,25,8,19
1월 10일,7,25,30,22,9,18,41,25,18,36
1월 11일,30,34,14,21,13,20,40,39,21,42
1월 12일,32,42,30,28,19,13,37,36,10,8
1월 13일,12,14,45,15,32,43,9,29,29,43
1월 14일,34,38,21,40,5,12,39,22,26,12
1월 15일,23,32,15,34,5,21,37,16,37,11
1월 16일,45,24,45,37,43,17,14,28,15,39
1월 17일,38,5,43,25,36,6,12,28,24,20
1월 18일,8,20,41,10,10,36,9,39,13,13
1월 19일,35,40,15,21,38,43,32,18,39,17
1월 20일,24,30,28,33,38,33,12,20,19,9
1월 21일,26,6,42,40,19,42,19,5,9,45
1월 22일,8,19,9,7,26,9,37,20,22,36
1월 23일,18,39,13,41,41,35,20,35,31,17
1월 24일,11,11,32,27,32,31,34,8,11,8
1월 25일,30,26,11,20,17,17,39,33,13,32
1월 26일,16,22,34,20,9,33,40,11,8,39
1월 27일,5,10,20,15,31,36,35,18,30,8
1월 28일,15,29,5,29,21,34,23,32,40,36
1월 29일,14,17,23,18,8,42,39,8,25,8
1월 30일,8,42,35,37,38,15,8,37,10,16
1월 31일,9,43,9,20,30,12,41,20,42,43
2월 1일,7,44,10,31,42,41,38,25,21,18
2월 2일,25,20,21,30,13,24,34,25,9,5
2월 3일,34,44,41,11,9,39,18,37,21,13
2월 4일,27,9,20,28,23,15,33,39,24,44
2월 5일,38,5,40,24,11,13,21,12,11,40
2월 6일,14,22,23,43,18,26,18,45,21,37
2월 7일,36,21,8,10,45,32,22,7,5,26
2월 8일,13,45,21,15,33,40,32,40,5,12
2월 9일,9,14,39,7,28,42,40,14,32,13
2월 10일,7,24,28,7,27,18,20,11,27,40
2월 11일,31,44,14,20,15,16,31,6,16,26
2월 12일,31,20,22,15,11,29,7,35,19,17
2월 13일,34,27,24,19,19,6,17,30,26,22
2월 14일,9,22,27,37,30,39,26,6,12,21
2월 15일,16,42,21,7,11,43,32,27,25,32
2월 16일,43,37,12,29,41,17,21,7,32,5
2월 17일,38,39,17,28,32,9,26,44,25,12
2월 18일,24,37,24,31,25,30,23,40,13,17
2월 19일,31,29,16,44,41,24,30,40,5,24
2월 20일,23,18,32,42,43,25,34,33,33,18
2월 21일,37,35,15,10,23,37,45,44,26,10
2월 22일,20,24,19,17,14,6,7,20,35,44
2월 23일,9,34,31,45,41,17,29,36,30,20
2월 24일,14,5,11,32,19,16,38,34,8,40
2월 25일,20,12,34,13,34,38,40,43,25,33
2월 26일,44,37,32,40,33,15,35,33,21,20
2월 27일,45,22,38,36,45,20,22,33,9,23
2월 28일,20,22,26,25,39,10,13,14,19,29
2월 29일,14,18,9,31,31,26,39,34,31,8
2월 30일,18,31,29,42,6,41,29,35,5,27
2월 31일,24,29,31,39,39,43,19,36,19,22
3월 1일,32,36,6,29,26,30,15,34,13,44
3월 2일,39,6,30,42,41,6,10,32,13,34
3월 3일,16,8,21,29,25,18,34,25,26,29
3월 4일,22,31,21,10,35,6,39,8,27,19
3월 5일,9,7,6,20,17,6,44,14,20,13
3월 6일,35,12,41,18,34,21,28,15,43,43
3월 7일,12,15,24,11,42,6,24,41,29,30
3월 8일,17,9,42,45,20,11,24,43,12,41
3월 9일,7,27,39,32,28,9,37,26,5,31
3월 10일,36,11,32,28,45,34,14,32,16,38
3월 11일,22,44,39,35,34,32,42,22,25,20
3월 12일,10,22,33,20,34,41,44,29,26,6
3월 13일,36,25,16,36,18,27,21,26,22,43
3월 14일,22,40,5,38,17,10,20,31,36,40
3월 15일,20,35,36,33,6,10,23,19,30,20
3월 16일,24,42,28,35,40,38,27,32,40,26
3월 17일,27,34,22,24,21,19,12,17,25,12
3월 18일,39,16,17,18,35,22,42,38,43,23
3월 19일,11,17,23,19,28,16,24,5,39,13
3월 20일,22,7,8,40,23,13,45,36,11,5
3월 21일,41,23,35,35,33,26,16,8,21,35
3월 22일,12,9,30,36,9,41,45,8,14,14
3월 23일,41,24,10,20,12,40,31,43,43,44
3월 24일,19,38,29,33,33,24,42,32,24,41
3월 25일,44,8,44,11,18,45,18,21,10,15
3월 26일,20,16,40,9,15,5,31,33,43,35
